n	num	area	avg_vel	std_vel	max_vel	avg_x	avg_y	std_x	std_y	max_x	max_y	num1	num2	num3	num4	num5
1108	131	14814.0	1.79	0.1	5.63	0.95	1.02	0.1	0.09	4.57	5.42	37	58	31	3	2
1109	120	17603.0	1.78	0.11	5.76	0.97	0.85	0.11	0.11	4.53	5.6	33	42	37	6	2
1110	122	15586.0	1.82	0.13	6.17	0.94	0.84	0.11	0.13	4.37	5.76	27	52	38	3	2
1111	119	14734.0	1.83	0.1	5.56	0.95	0.82	0.09	0.1	4.29	5.34	31	54	27	5	2
1112	110	15881.0	1.79	0.11	5.48	0.99	0.93	0.09	0.11	4.6	5.24	37	34	32	4	3
1113	118	14831.0	1.74	0.1	5.62	0.86	1.02	0.1	0.1	3.72	5.35	40	45	28	2	3
1114	115	14623.0	1.88	0.12	5.72	1.01	0.9	0.11	0.12	4.91	5.56	35	42	33	3	2
1115	121	14451.0	1.94	0.11	5.79	0.82	0.76	0.11	0.11	4.29	5.54	34	52	32	1	2
1116	118	16212.0	1.89	0.12	5.73	1.21	0.94	0.11	0.13	4.92	5.39	30	50	32	4	2
1117	118	14329.0	1.84	0.11	6.54	0.96	0.92	0.11	0.11	3.67	6.23	32	51	30	3	2
1118	110	14586.0	1.87	0.11	6.16	1.07	0.71	0.11	0.11	4.54	5.93	28	47	29	5	1
1119	124	14255.0	1.93	0.11	5.57	1.03	0.95	0.1	0.11	4.72	5.34	30	52	37	4	1
1120	117	12432.0	1.82	0.09	5.94	0.78	0.97	0.09	0.1	4.21	5.75	39	41	33	3	1
1121	124	14255.0	1.76	0.11	5.51	0.94	0.86	0.1	0.11	4.61	5.26	35	46	39	3	1
1122	104	11963.0	1.83	0.11	5.64	1.17	0.67	0.12	0.12	4.39	5.45	28	43	29	3	1
1123	119	14509.0	1.83	0.11	5.93	1.01	0.86	0.11	0.1	4.55	5.73	36	49	29	3	2
1124	109	14324.0	1.89	0.11	5.56	1.07	1.05	0.11	0.1	3.98	5.29	33	41	30	3	2
1125	143	15097.0	1.86	0.11	6.12	1.14	0.83	0.11	0.1	5.58	5.97	50	53	35	4	1
1126	111	13579.0	1.79	0.12	5.63	0.87	0.78	0.11	0.11	4.91	5.39	29	46	32	3	1
1127	126	13290.0	1.81	0.1	5.7	0.81	0.94	0.09	0.09	4.43	5.46	36	50	37	2	1
1128	119	13655.0	1.81	0.11	4.51	0.9	0.92	0.11	0.11	4.47	4.0	31	52	30	5	1
1129	104	10464.0	1.79	0.12	5.52	1.06	0.86	0.11	0.12	3.54	5.32	30	46	24	3	1
1130	120	12079.0	1.79	0.09	4.47	0.9	0.73	0.09	0.1	4.29	3.51	31	55	32	1	1
1131	107	11340.0	1.77	0.1	4.09	0.98	0.75	0.1	0.1	4.08	3.95	27	45	31	3	1
1132	112	12909.0	1.74	0.11	4.73	0.88	0.82	0.11	0.11	3.55	4.58	30	50	28	2	2
1133	122	11569.0	1.75	0.1	5.11	0.96	0.64	0.1	0.1	4.94	3.34	35	57	27	2	1
1134	139	14021.0	1.77	0.11	4.09	1.05	0.75	0.11	0.11	3.69	3.43	40	60	36	2	1
1135	102	10736.0	1.76	0.11	4.26	1.05	0.75	0.11	0.1	4.23	3.66	28	43	29	1	1
1136	111	12969.0	1.71	0.11	4.33	0.96	0.95	0.11	0.11	3.76	3.98	36	35	36	3	1
1137	108	12326.0	1.81	0.12	4.22	1.13	0.79	0.12	0.12	4.12	3.91	30	43	31	3	1
1138	101	11688.0	1.79	0.1	4.09	1.04	0.8	0.11	0.11	4.01	3.7	28	39	30	3	1
1139	118	12903.0	1.92	0.11	5.19	0.98	0.76	0.11	0.11	4.37	3.67	28	51	35	3	1
1140	100	13033.0	1.8	0.13	3.6	0.94	0.97	0.11	0.13	3.58	3.38	25	39	31	4	1
1141	88	13365.0	1.85	0.12	4.93	1.03	0.86	0.12	0.12	3.86	4.74	22	34	27	3	2
1142	125	12428.0	1.77	0.1	4.68	1.01	0.79	0.1	0.1	3.64	4.47	34	53	36	1	1
1143	134	13179.0	1.85	0.09	4.77	1.22	0.8	0.09	0.1	3.71	4.5	45	46	39	4	0.0
